"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2022 - 2023","Danville City Public Schools","Forest Hills Elementary",SCH,100
"2022 - 2023","Danville City Public Schools","Galileo Magnet High",SCH,100
"2022 - 2023","Danville City Public Schools","George Washington High",SCH,100
"2022 - 2023","Danville City Public Schools","O. Trent Bonner Middle",SCH,100
"2022 - 2023","Danville City Public Schools","Park Avenue Elementary",SCH,100
"2022 - 2023","Danville City Public Schools","R.I.S.E Academy at the John M. Langston Campus",SCH,0
"2022 - 2023","Danville City Public Schools","Schoolfield Elementary",SCH,100
"2022 - 2023","Danville City Public Schools","Westwood Middle",SCH,100
"2022 - 2023","Danville City Public Schools","Woodberry Hills Elementary",SCH,100
"2022 - 2023","Dickenson County Public Schools","Ridgeview High",SCH,89.4
"2022 - 2023","Dickenson County Public Schools","Ridgeview Middle",SCH,89.5
"2022 - 2023","Dinwiddie County Public Schools","Dinwiddie County High",SCH,83.1
"2022 - 2023","Dinwiddie County Public Schools","Dinwiddie County Middle",SCH,83.1
"2022 - 2023","Dinwiddie County Public Schools","Dinwiddie Elementary",SCH,83.1
"2022 - 2023","Dinwiddie County Public Schools","Midway Elementary",SCH,83
"2022 - 2023","Dinwiddie County Public Schools","Southside Elementary",SCH,83
"2022 - 2023","Dinwiddie County Public Schools","Sunnyside Elementary",SCH,82.9
"2022 - 2023","Dinwiddie County Public Schools","Sutherland Elementary",SCH,83.1
"2022 - 2023","Essex County Public Schools","Essex High",SCH,100
"2022 - 2023","Essex County Public Schools","James H. Cary Intermediate ",SCH,100
"2022 - 2023","Essex County Public Schools","Tappahannock Elementary",SCH,100
"2022 - 2023","Fairfax County Public Schools","Aldrin Elementary",SCH,20.2
"2022 - 2023","Fairfax County Public Schools","Annandale High",SCH,64.3
"2022 - 2023","Fairfax County Public Schools","Annandale Terrace Elementary",SCH,89.2
"2022 - 2023","Fairfax County Public Schools","Archer Elementary",SCH,13.1
"2022 - 2023","Fairfax County Public Schools","Armstrong Elementary",SCH,19.9
"2022 - 2023","Fairfax County Public Schools","Bailey's Elementary School for the Arts and Sciences",SCH,82.3
"2022 - 2023","Fairfax County Public Schools","Bailey's Upper Elementary School for the Arts and Sciences",SCH,82.9
"2022 - 2023","Fairfax County Public Schools","Beech Tree Elementary",SCH,72
"2022 - 2023","Fairfax County Public Schools","Belle View Elementary",SCH,38.8
"2022 - 2023","Fairfax County Public Schools","Belvedere Elementary",SCH,51.9
"2022 - 2023","Fairfax County Public Schools","Bonnie Brae Elementary",SCH,20.9
"2022 - 2023","Fairfax County Public Schools","Braddock Elementary",SCH,86.4
"2022 - 2023","Fairfax County Public Schools","Bren Mar Park Elementary",SCH,58.5
"2022 - 2023","Fairfax County Public Schools","Brookfield Elementary",SCH,72.2
"2022 - 2023","Fairfax County Public Schools","Bucknell Elementary",SCH,65.3
"2022 - 2023","Fairfax County Public Schools","Bull Run Elementary",SCH,41.7
"2022 - 2023","Fairfax County Public Schools","Bush Hill Elementary",SCH,27.6
"2022 - 2023","Fairfax County Public Schools","Camelot Elementary",SCH,44.4
"2022 - 2023","Fairfax County Public Schools","Cameron Elementary",SCH,74.2
"2022 - 2023","Fairfax County Public Schools","Canterbury Woods Elementary",SCH,14.2
"2022 - 2023","Fairfax County Public Schools","Cardinal Forest Elementary",SCH,30.5
"2022 - 2023","Fairfax County Public Schools","Carson Middle",SCH,15.6
"2022 - 2023","Fairfax County Public Schools","Centre Ridge Elementary",SCH,60.7
"2022 - 2023","Fairfax County Public Schools","Centreville Elementary",SCH,38.2
"2022 - 2023","Fairfax County Public Schools","Centreville High",SCH,32.7
"2022 - 2023","Fairfax County Public Schools","Chantilly High",SCH,20.1
"2022 - 2023","Fairfax County Public Schools","Cherry Run Elementary",SCH,6.4
"2022 - 2023","Fairfax County Public Schools","Chesterbrook Elementary",SCH,1.9
"2022 - 2023","Fairfax County Public Schools","Churchill Road Elementary",SCH,2.1
"2022 - 2023","Fairfax County Public Schools","Clearview Elementary",SCH,58.8
"2022 - 2023","Fairfax County Public Schools","Clermont Elementary",SCH,16.1
"2022 - 2023","Fairfax County Public Schools","Coates Elementary",SCH,56.5
"2022 - 2023","Fairfax County Public Schools","Columbia Elementary",SCH,42.2
"2022 - 2023","Fairfax County Public Schools","Colvin Run Elementary",SCH,3.6
"2022 - 2023","Fairfax County Public Schools","Cooper Middle",SCH,4.3
"2022 - 2023","Fairfax County Public Schools","Crestwood Elementary",SCH,74.3
"2022 - 2023","Fairfax County Public Schools","Crossfield Elementary",SCH,7.2
"2022 - 2023","Fairfax County Public Schools","Cub Run Elementary",SCH,23.7
"2022 - 2023","Fairfax County Public Schools","Cunningham Park Elementary",SCH,32.5
"2022 - 2023","Fairfax County Public Schools","Daniels Run Elementary",SCH,34.9
"2022 - 2023","Fairfax County Public Schools","Deer Park Elementary",SCH,31.6
"2022 - 2023","Fairfax County Public Schools","Dogwood Elementary",SCH,89.2
"2022 - 2023","Fairfax County Public Schools","Dranesville Elementary",SCH,46
"2022 - 2023","Fairfax County Public Schools","Eagle View Elementary",SCH,38.5
"2022 - 2023","Fairfax County Public Schools","Edison High",SCH,38.4
"2022 - 2023","Fairfax County Public Schools","Fairfax High",SCH,33
"2022 - 2023","Fairfax County Public Schools","Fairfax Villa Elementary",SCH,26.1
"2022 - 2023","Fairfax County Public Schools","Fairhill Elementary",SCH,29.3
"2022 - 2023","Fairfax County Public Schools","Fairview Elementary",SCH,7.6
"2022 - 2023","Fairfax County Public Schools","Falls Church High",SCH,61.8
"2022 - 2023","Fairfax County Public Schools","Flint Hill Elementary",SCH,7.1
"2022 - 2023","Fairfax County Public Schools","Floris Elementary",SCH,7.5
"2022 - 2023","Fairfax County Public Schools","Forest Edge Elementary",SCH,69.7
"2022 - 2023","Fairfax County Public Schools","Forestdale Elementary",SCH,64.4
"2022 - 2023","Fairfax County Public Schools","Forestville Elementary",SCH,4.5
"2022 - 2023","Fairfax County Public Schools","Fort Belvoir Elementary",SCH,30.9
"2022 - 2023","Fairfax County Public Schools","Fort Belvoir Upper Elementary",SCH,30.3
"2022 - 2023","Fairfax County Public Schools","Fort Hunt Elementary",SCH,34.8
"2022 - 2023","Fairfax County Public Schools","Fox Mill Elementary",SCH,10.4
"2022 - 2023","Fairfax County Public Schools","Franconia Elementary",SCH,28.1
"2022 - 2023","Fairfax County Public Schools","Franklin Middle",SCH,21.2
"2022 - 2023","Fairfax County Public Schools","Freedom Hill Elementary",SCH,37.4
"2022 - 2023","Fairfax County Public Schools","Frost Middle",SCH,14.4
"2022 - 2023","Fairfax County Public Schools","Garfield Elementary",SCH,76.9
"2022 - 2023","Fairfax County Public Schools","Glasgow Middle",SCH,79.8
"2022 - 2023","Fairfax County Public Schools","Glen Forest Elementary",SCH,91.5
"2022 - 2023","Fairfax County Public Schools","Graham Road Elementary",SCH,95.4
"2022 - 2023","Fairfax County Public Schools","Great Falls Elementary",SCH,4.7
"2022 - 2023","Fairfax County Public Schools","Greenbriar East Elementary",SCH,33.6
"2022 - 2023","Fairfax County Public Schools","Greenbriar West Elementary",SCH,19.2
"2022 - 2023","Fairfax County Public Schools","Groveton Elementary",SCH,75.3
"2022 - 2023","Fairfax County Public Schools","Gunston Elementary",SCH,38.2
"2022 - 2023","Fairfax County Public Schools","Halley Elementary",SCH,40.1
"2022 - 2023","Fairfax County Public Schools","Haycock Elementary",SCH,3.3
"2022 - 2023","Fairfax County Public Schools","Hayfield Elementary",SCH,16.5
"2022 - 2023","Fairfax County Public Schools","Hayfield Secondary",SCH,31.6
"2022 - 2023","Fairfax County Public Schools","Herndon Elementary",SCH,69.2
"2022 - 2023","Fairfax County Public Schools","Herndon High",SCH,48.5
"2022 - 2023","Fairfax County Public Schools","Herndon Middle",SCH,55.6
"2022 - 2023","Fairfax County Public Schools","Hollin Meadows Elementary",SCH,68
"2022 - 2023","Fairfax County Public Schools","Holmes Middle",SCH,59
"2022 - 2023","Fairfax County Public Schools","Hughes Middle",SCH,40.6
"2022 - 2023","Fairfax County Public Schools","Hunt Valley Elementary",SCH,10.5
"2022 - 2023","Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",SCH,25
"2022 - 2023","Fairfax County Public Schools","Hutchison Elementary",SCH,91.9
"2022 - 2023","Fairfax County Public Schools","Hybla Valley Elementary",SCH,93.2
"2022 - 2023","Fairfax County Public Schools","Irving Middle",SCH,15
"2022 - 2023","Fairfax County Public Schools","Island Creek Elementary",SCH,13.3
"2022 - 2023","Fairfax County Public Schools","Jackson Middle",SCH,52.7
"2022 - 2023","Fairfax County Public Schools","Johnson Middle",SCH,33.4
"2022 - 2023","Fairfax County Public Schools","Justice High",SCH,67.2
"2022 - 2023","Fairfax County Public Schools","Keene Mill Elementary",SCH,17.5
"2022 - 2023","Fairfax County Public Schools","Kent Gardens Elementary",SCH,3.5
"2022 - 2023","Fairfax County Public Schools","Key Middle",SCH,68.1
"2022 - 2023","Fairfax County Public Schools","Kilmer Middle",SCH,19.7
"2022 - 2023","Fairfax County Public Schools","Kings Glen Elementary",SCH,28.5
"2022 - 2023","Fairfax County Public Schools","Kings Park Elementary",SCH,21
"2022 - 2023","Fairfax County Public Schools","Lake Anne Elementary",SCH,42.4
"2022 - 2023","Fairfax County Public Schools","Lake Braddock Secondary",SCH,20.1
"2022 - 2023","Fairfax County Public Schools","Lane Elementary",SCH,23.8
"2022 - 2023","Fairfax County Public Schools","Langley High",SCH,3.9
"2022 - 2023","Fairfax County Public Schools","Laurel Hill Elementary",SCH,24.7
"2022 - 2023","Fairfax County Public Schools","Laurel Ridge Elementary",SCH,6.9
"2022 - 2023","Fairfax County Public Schools","Lees Corner Elementary",SCH,16.8
"2022 - 2023","Fairfax County Public Schools","Lemon Road Elementary",SCH,16.3
"2022 - 2023","Fairfax County Public Schools","Lewis High",SCH,62.6
"2022 - 2023","Fairfax County Public Schools","Liberty Middle",SCH,35.2
"2022 - 2023","Fairfax County Public Schools","Little Run Elementary",SCH,24.2
"2022 - 2023","Fairfax County Public Schools","London Towne Elementary",SCH,57.9
"2022 - 2023","Fairfax County Public Schools","Longfellow Middle",SCH,14
"2022 - 2023","Fairfax County Public Schools","Lorton Station Elementary",SCH,57
"2022 - 2023","Fairfax County Public Schools","Lynbrook Elementary",SCH,99.3
"2022 - 2023","Fairfax County Public Schools","Madison High",SCH,11.7
"2022 - 2023","Fairfax County Public Schools","Mantua Elementary",SCH,13.3
"2022 - 2023","Fairfax County Public Schools","Marshall High",SCH,22.8
"2022 - 2023","Fairfax County Public Schools","Marshall Road Elementary",SCH,32.8
"2022 - 2023","Fairfax County Public Schools","Mason Crest Elementary",SCH,53.6
"2022 - 2023","Fairfax County Public Schools","McLean High",SCH,12.2
"2022 - 2023","Fairfax County Public Schools","McNair Elementary",SCH,32.5
"2022 - 2023","Fairfax County Public Schools","McNair Upper Elementary",SCH,26.1
"2022 - 2023","Fairfax County Public Schools","Mosaic Elementary",SCH,25.2
"2022 - 2023","Fairfax County Public Schools","Mount Eagle Elementary",SCH,72.4
"2022 - 2023","Fairfax County Public Schools","Mount Vernon High",SCH,87.9
"2022 - 2023","Fairfax County Public Schools","Mount Vernon Woods Elementary",SCH,82.1
"2022 - 2023","Fairfax County Public Schools","Navy Elementary",SCH,7
"2022 - 2023","Fairfax County Public Schools","Newington Forest Elementary",SCH,26
"2022 - 2023","Fairfax County Public Schools","North Springfield Elementary",SCH,45.7
"2022 - 2023","Fairfax County Public Schools","Oak Hill Elementary",SCH,8.5
"2022 - 2023","Fairfax County Public Schools","Oak View Elementary",SCH,8.7
"2022 - 2023","Fairfax County Public Schools","Oakton Elementary",SCH,12.3
"2022 - 2023","Fairfax County Public Schools","Oakton High",SCH,14.8
"2022 - 2023","Fairfax County Public Schools","Olde Creek Elementary",SCH,18.7
"2022 - 2023","Fairfax County Public Schools","Orange Hunt Elementary",SCH,7.4
"2022 - 2023","Fairfax County Public Schools","Parklawn Elementary",SCH,96.3
"2022 - 2023","Fairfax County Public Schools","Pine Spring Elementary",SCH,65.8
"2022 - 2023","Fairfax County Public Schools","Poe Middle",SCH,77
"2022 - 2023","Fairfax County Public Schools","Poplar Tree Elementary",SCH,9.7
"2022 - 2023","Fairfax County Public Schools","Powell Elementary",SCH,20.7
"2022 - 2023","Fairfax County Public Schools","Providence Elementary",SCH,44
"2022 - 2023","Fairfax County Public Schools","Ravensworth Elementary",SCH,20.9
"2022 - 2023","Fairfax County Public Schools","Riverside Elementary",SCH,75.4
"2022 - 2023","Fairfax County Public Schools","Robinson Secondary",SCH,13.9
"2022 - 2023","Fairfax County Public Schools","Rocky Run Middle",SCH,18.8
"2022 - 2023","Fairfax County Public Schools","Rolling Valley Elementary",SCH,25
"2022 - 2023","Fairfax County Public Schools","Rose Hill Elementary",SCH,42.2
"2022 - 2023","Fairfax County Public Schools","Sandburg Middle",SCH,49.3
"2022 - 2023","Fairfax County Public Schools","Sangster Elementary",SCH,3.3
"2022 - 2023","Fairfax County Public Schools","Saratoga Elementary",SCH,41.4
"2022 - 2023","Fairfax County Public Schools","Sherman Elementary",SCH,7.1
"2022 - 2023","Fairfax County Public Schools","Shrevewood Elementary",SCH,28.1
"2022 - 2023","Fairfax County Public Schools","Silverbrook Elementary",SCH,8.3
"2022 - 2023","Fairfax County Public Schools","Sleepy Hollow Elementary",SCH,67.6
"2022 - 2023","Fairfax County Public Schools","South County High",SCH,23.3
"2022 - 2023","Fairfax County Public Schools","South County Middle",SCH,22.8
"2022 - 2023","Fairfax County Public Schools","South Lakes High",SCH,32
"2022 - 2023","Fairfax County Public Schools","Spring Hill Elementary",SCH,9.5
"2022 - 2023","Fairfax County Public Schools","Springfield Estates Elementary",SCH,36.1
"2022 - 2023","Fairfax County Public Schools","Stenwood Elementary",SCH,10.1
"2022 - 2023","Fairfax County Public Schools","Stone Middle",SCH,37.8
"2022 - 2023","Fairfax County Public Schools","Stratford Landing Elementary",SCH,24.2
"2022 - 2023","Fairfax County Public Schools","Sunrise Valley Elementary",SCH,14.5
"2022 - 2023","Fairfax County Public Schools","Terra Centre Elementary",SCH,12.6
"2022 - 2023","Fairfax County Public Schools","Terraset Elementary",SCH,30.1
"2022 - 2023","Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",SCH,10.8
"2022 - 2023","Fairfax County Public Schools","Thoreau Middle",SCH,17.6
"2022 - 2023","Fairfax County Public Schools","Timber Lane Elementary",SCH,58.8
"2022 - 2023","Fairfax County Public Schools","Twain Middle",SCH,36.7
"2022 - 2023","Fairfax County Public Schools","Union Mill Elementary",SCH,12.4
"2022 - 2023","Fairfax County Public Schools","Vienna Elementary",SCH,4.7
"2022 - 2023","Fairfax County Public Schools","Virginia Run Elementary",SCH,38.5
"2022 - 2023","Fairfax County Public Schools","Wakefield Forest Elementary",SCH,6.9
"2022 - 2023","Fairfax County Public Schools","Waples Mill Elementary",SCH,14.1
"2022 - 2023","Fairfax County Public Schools","Washington Mill Elementary",SCH,69.5
"2022 - 2023","Fairfax County Public Schools","Waynewood Elementary",SCH,3.1
"2022 - 2023","Fairfax County Public Schools","West Potomac High",SCH,48.4
"2022 - 2023","Fairfax County Public Schools","West Springfield Elementary",SCH,12.1
"2022 - 2023","Fairfax County Public Schools","West Springfield High",SCH,17.1
"2022 - 2023","Fairfax County Public Schools","Westbriar Elementary",SCH,10
"2022 - 2023","Fairfax County Public Schools","Westfield High",SCH,32.7
"2022 - 2023","Fairfax County Public Schools","Westgate Elementary",SCH,35.6
"2022 - 2023","Fairfax County Public Schools","Westlawn Elementary",SCH,69.4
"2022 - 2023","Fairfax County Public Schools","Weyanoke Elementary",SCH,86.4
"2022 - 2023","Fairfax County Public Schools","White Oaks Elementary",SCH,24
"2022 - 2023","Fairfax County Public Schools","Whitman Middle",SCH,62.6
"2022 - 2023","Fairfax County Public Schools","Willow Springs Elementary",SCH,12.7
"2022 - 2023","Fairfax County Public Schools","Wolftrap Elementary",SCH,2.6
"2022 - 2023","Fairfax County Public Schools","Woodburn Elementary",SCH,61.7
